WKT,identificatie,rdf_seealso,bouwjaar,status,gebruiksdoel,oppervlakte_min,oppervlakte_max,aantal_verblijfsobjecten,fuuid,latitude,longitude
"POLYGON ((5.89529048297908 51.3014723783773,5.89532355983676 51.3014758924403,5.89530847854941 51.3015330107793,5.89523038052342 51.3015247313882,5.89523687796406 51.301500361107,5.89517418513526 51.3014937942271,5.89518246063705 51.3014642565645,5.89520159098672 51.3013959923202,5.89526879549586 51.3014033934329,5.89526800965052 51.3014062283644,5.89530360030984 51.3014101449473,5.89530438615304 51.3014073100156,5.89530796265933 51.3014078517116,5.89529048297908 51.3014723783773))","1640100000025685",http://bag.basisregistraties.overheid.nl/bag/id/pand/1640100000025685,"1973",Pand in gebruik,woonfunctie,"166","166","1",pand.29424c09-0a58-4ecf-9fc0-c836a309a98b,51.301,5.895
"POLYGON ((5.89529656029772 51.2995542572363,5.89524763817748 51.2995686013628,5.89522304010581 51.2995369779595,5.89519547597906 51.2995016640752,5.89514890068547 51.2994419923699,5.89519048588127 51.2994293522457,5.89518914801643 51.2994276681741,5.89527636040892 51.2994009679677,5.89532829020621 51.2994676365673,5.89530394003164 51.2994751047894,5.89535115332524 51.2995353938809,5.8953591707915 51.2995330037821,5.89536150398176 51.2995352228391,5.89529656029772 51.2995542572363))","1640100000025686",http://bag.basisregistraties.overheid.nl/bag/id/pand/1640100000025686,"1967",Pand in gebruik,woonfunctie,"186","186","1",pand.ed82dce3-a5a7-4257-aebe-c69b79bb672e,51.299,5.895
"POLYGON ((5.89535558622175 51.2988735673512,5.89530164095899 51.2988887154708,5.89532652092533 51.2989237983501,5.89523502255573 51.2989505262973,5.89518505147577 51.2988832828064,5.89526986111186 51.2988585167125,5.89527361978003 51.2988638576821,5.89533635491414 51.2988461632939,5.89535558622175 51.2988735673512))","1640100000025687",http://bag.basisregistraties.overheid.nl/bag/id/pand/1640100000025687,"1950",Pand in gebruik,woonfunctie,"116","116","1",pand.6a114ea1-fa60-443e-8450-4f53440fefb5,51.299,5.895
"POLYGON ((5.89502549855057 51.3001441768453,5.89502763758243 51.3001082479008,5.89506422562506 51.3001091039786,5.89506559885828 51.3000816908555,5.89514033257616 51.3000829287546,5.89514122788483 51.3000680032869,5.89521781749942 51.3000697993358,5.89524252979566 51.3000703746102,5.89524416120798 51.3000429783353,5.89529288310175 51.3000441229465,5.89529221822768 51.3000552630861,5.895335102695 51.300056271366,5.89545198065817 51.3000590059614,5.89544585383681 51.3001618566519,5.89543224266873 51.3001615385623,5.89543106921593 51.3001811035153,5.89543063404828 51.3001883954069,5.89544425956258 51.3001887134341,5.89544102738984 51.3002281797955,5.89541066174301 51.3002272696959,5.89539190003032 51.3002266954385,5.89539043354572 51.3002469897708,5.89527412244454 51.300243695326,5.89527557594054 51.3002235179076,5.89527887016521 51.3001676825086,5.89504953168589 51.3001623553738,5.89504968813908 51.3001596580237,5.89505056943996 51.3001447595845,5.89502549855057 51.3001441768453))","1640100000025688",http://bag.basisregistraties.overheid.nl/bag/id/pand/1640100000025688,"1993",Pand in gebruik,bijeenkomstfunctie,"372","372","1",pand.7f043179-d82f-49ba-a2ff-245a19605606,51.300,5.895
"POLYGON ((5.89542406130948 51.3021182042433,5.8954106745943 51.3021691038698,5.89529041412936 51.3021566759824,5.8953038009748 51.3021057763695,5.89542406130948 51.3021182042433))","1640100000025689",http://bag.basisregistraties.overheid.nl/bag/id/pand/1640100000025689,"1990",Pand in gebruik,woonfunctie,"92","92","1",pand.076fd57b-a490-47e4-8182-38b3d3937d37,51.302,5.895
"POLYGON ((5.89543698025419 51.3020690864582,5.89542406130948 51.3021182042433,5.8953038009748 51.3021057763695,5.89530907033933 51.3020857351033,5.89531641747451 51.3020578194856,5.89531672004522 51.3020566585976,5.89543698025419 51.3020690864582))","1640100000025690",http://bag.basisregistraties.overheid.nl/bag/id/pand/1640100000025690,"1990",Pand in gebruik,woonfunctie,"93","93","1",pand.73d190db-1ba9-48e4-9477-854ed79b3013,51.302,5.895
"POLYGON ((5.89544989917134 51.3020199686717,5.89543698025419 51.3020690864582,5.89531672004522 51.3020566585976,5.89532963908807 51.3020075408242,5.89544989917134 51.3020199686717))","1640100000025691",http://bag.basisregistraties.overheid.nl/bag/id/pand/1640100000025691,"1990",Pand in gebruik,woonfunctie,"93","93","1",pand.cf85c5b3-dfbd-470f-9150-754b78006534,51.302,5.895
"POLYGON ((5.89534671714266 51.3019404091298,5.89534304018557 51.301956641144,5.89546328579979 51.3019690690405,5.89544989917134 51.3020199686717,5.89532963908807 51.3020075408242,5.89533814201809 51.3019752425686,5.89520602789948 51.3019632259071,5.89521385980265 51.3019286024671,5.89534671714266 51.3019404091298))","1640100000025693",http://bag.basisregistraties.overheid.nl/bag/id/pand/1640100000025693,"1990",Pand in gebruik,woonfunctie,"125","125","1",pand.c85b222e-3756-49b9-affc-9cbfba799a78,51.302,5.895
"POLYGON ((5.89552686687452 51.3018090857126,5.89551480692914 51.3018554851115,5.89533967534874 51.3018370676303,5.89536149745254 51.3017581217937,5.89536570226703 51.301742939174,5.89536626728215 51.3017408782508,5.89539512546044 51.3017441140817,5.89545035813385 51.3017503179133,5.8954498206011 51.3017522708502,5.89546111935966 51.3017534979274,5.89544875729584 51.3018011031504,5.89547581788105 51.3018038704007,5.89552686687452 51.3018090857126))","1640100000025694",http://bag.basisregistraties.overheid.nl/bag/id/pand/1640100000025694,"1992",Pand in gebruik,woonfunctie,"123","123","1",pand.0dcc3ae5-da79-45a3-a574-bff7a8fcef74,51.302,5.895
"POLYGON ((5.89539512546044 51.3017441140817,5.89540658185456 51.3017027511098,5.89546185529793 51.3017087570022,5.89545035813385 51.3017503179133,5.89539512546044 51.3017441140817))","1640100000025695",http://bag.basisregistraties.overheid.nl/bag/id/pand/1640100000025695,"1985",Pand in gebruik,,,,"0",pand.449147d6-aa83-4e7d-9308-1e967ec9f41c,51.302,5.895
