WKT,identifica,rdf_seeals,bouwjaar,status,gebruiksdo,oppervlakt,oppervla_1,aantal_ver,fuuid,longitude,latitude
"MULTIPOLYGON (((6.77727178686908 53.3649381221793,6.77729231848576 53.3648565590692,6.77720041120701 53.3648483833073,6.77719335300131 53.3648749833836,6.77714962112224 53.3648708428406,6.77713523850991 53.3649251064427,6.77727178686908 53.3649381221793)))","0024100000155083",http://bag.basisregistraties.overheid.nl/bag/id/pand/0024100000155083,2019,Pand in gebruik,woonfunctie,110,110,1,pand.86710690-a1b2-4269-b980-45b14d0f998f,6.777,53.365
"MULTIPOLYGON (((6.77713523850991 53.3649251064427,6.77712087116998 53.3649793788515,6.77716458929938 53.3649835555097,6.77715754606806 53.3650101554092,6.77725156344835 53.3650185314776,6.77727178686908 53.3649381221793,6.77713523850991 53.3649251064427)))","0024100000155084",http://bag.basisregistraties.overheid.nl/bag/id/pand/0024100000155084,2019,Pand in gebruik,woonfunctie,110,110,1,pand.013a22b0-52df-4b7f-a0ac-935c133e4f80,6.777,53.365
"MULTIPOLYGON (((6.71327652181947 53.3696454670467,6.71321461982537 53.3696659728871,6.71322571718751 53.3696779638974,6.71318898045466 53.3696901317331,6.71321293139628 53.3697160084495,6.71331158519574 53.3696833345828,6.71327652181947 53.3696454670467)))","0024100000152103",http://bag.basisregistraties.overheid.nl/bag/id/pand/0024100000152103,1947,Pand in gebruik,,,,0,pand.6b797358-832b-4e2e-9e52-32e69a8e1930,6.713,53.370
"MULTIPOLYGON (((6.7131495238865 53.3696691346733,6.71308061083381 53.3696898255584,6.7131148158473 53.3697305602089,6.71315414796045 53.3697187501931,6.71314123314994 53.3697033644699,6.713170799387 53.369694492733,6.7131495238865 53.3696691346733)))","0024100000152104",http://bag.basisregistraties.overheid.nl/bag/id/pand/0024100000152104,1947,Pand in gebruik,,,,0,pand.3d3c9774-dca4-436f-af68-0caf088793d9,6.713,53.370
"MULTIPOLYGON (((6.77722105146268 53.3651297208507,6.77724260992614 53.3650478493423,6.77714957148146 53.3650390845305,6.77714239575082 53.3650662341227,6.77714230506288 53.365066217198,6.77709845314067 53.3650620870086,6.77708411632638 53.3651163770295,6.77722105146268 53.3651297208507)))","0024100000155085",http://bag.basisregistraties.overheid.nl/bag/id/pand/0024100000155085,2019,Pand in gebruik,woonfunctie,110,110,1,pand.6803d5f9-4835-4108-ab55-35803044c9e8,6.777,53.365
"MULTIPOLYGON (((6.71550434799495 53.3697271846569,6.71559649168004 53.3696584114913,6.7155180579223 53.3696208258312,6.71542591419127 53.3696895989379,6.71550434799495 53.3697271846569)))","0024100000152105",http://bag.basisregistraties.overheid.nl/bag/id/pand/0024100000152105,1977,Pand in gebruik,,,,0,pand.e465d117-2ee6-4cdd-8761-8bdb573f5820,6.716,53.370
"MULTIPOLYGON (((6.77708411632638 53.3651163770295,6.7770697942044 53.3651706578913,6.77711349634498 53.365174798809,6.77710644151541 53.3652015066726,6.77719982832819 53.3652103483708,6.77722105146268 53.3651297208507,6.77708411632638 53.3651163770295)))","0024100000155086",http://bag.basisregistraties.overheid.nl/bag/id/pand/0024100000155086,2019,Pand in gebruik,woonfunctie,110,110,1,pand.bd54f832-d3d6-4442-9db7-42cfce4632f9,6.777,53.365
"MULTIPOLYGON (((6.77526278062108 53.3652496207056,6.77532502724544 53.3652637117442,6.77532541370674 53.3652640487627,6.77534776686442 53.3652691106683,6.77536243211231 53.3652458916245,6.77527730355141 53.3652266459441,6.77526278062108 53.3652496207056)))","0024100000153781",http://bag.basisregistraties.overheid.nl/bag/id/pand/0024100000153781,1970,Pand in gebruik,,,,0,pand.c54016bc-b13f-4ca9-9924-9f5808b505c7,6.775,53.365
"MULTIPOLYGON (((6.78949423387018 53.3626964731288,6.78948469519589 53.3627485970848,6.78956435072808 53.3627538150083,6.78957390432401 53.3627016908713,6.78949423387018 53.3626964731288)))","0024100000153782",http://bag.basisregistraties.overheid.nl/bag/id/pand/0024100000153782,2013,Pand in gebruik,,,,0,pand.e8cc181f-e05e-4a2e-867c-012d7de0bc97,6.790,53.363
"MULTIPOLYGON (((6.78668937892715 53.3618851750894,6.78674717134238 53.3618962926539,6.78676588387996 53.3618614776353,6.78670807649004 53.3618503602543,6.78668937892715 53.3618851750894)))","0024100000153783",http://bag.basisregistraties.overheid.nl/bag/id/pand/0024100000153783,1980,Pand in gebruik,,,,0,pand.4a7d0dfb-b86f-462d-b047-4aff2fe15ad1,6.787,53.362
